"css-175oi2r href","css-9pa8cd src","css-1jxf684","css-1jxf684 2","css-1jxf684 3","css-146c3p1 href","css-146c3p1","css-1jxf684 4","css-1jxf684 5","css-1jxf684 6","css-1jxf684 7","css-175oi2r href 4","css-1jxf684 8","css-1jxf684 9","css-1jxf684 href","css-1jxf684 10","css-1jxf684 12","css-1jxf684 13","css-1jxf684 15","css-146c3p1 2","css-1jxf684 href 2","css-1jxf684 16","r-4qtqp9 src 3","r-4qtqp9 href"
"https://x.com/beyourszz_","https://pbs.twimg.com/profile_images/1806317245985140736/o_aEhMLC_normal.jpg","ynti","@beyourszz_","·","https://x.com/beyourszz_/status/2052225997140025696","May 7","Telkomsel","sinyal","kek eek lahhh","2","https://x.com/beyourszz_/status/2052225997140025696/analytics","68","","","ini udah mahal","","","","","","","https://abs.twimg.com/emoji/v2/svg/1f5ff.svg",""
"https://x.com/NurulIbadi1","https://pbs.twimg.com/profile_images/1066977862920495104/STqJvVCK_normal.jpg","Nurul Ibadi","@NurulIbadi1","·","https://x.com/NurulIbadi1/status/2052210974996983831","May 7","sinyal","@Telkomsel","","1","https://x.com/NurulIbadi1/status/2052210974996983831/analytics","57","@Telkomsel","https://x.com/Telkomsel","Sejak sore kemarin Rabu 6 Mei 2026 sampai saat ini","area Desa Paninggaran Kecamatan Paninggaran Kabupaten Pekalongan Jawa Tengah hilang

Hallooo","klarifikasi dong","","","https://x.com/Telkomsel","","",""
"https://x.com/bangliban","https://pbs.twimg.com/profile_images/1916217641330741253/QdU3kmZD_normal.jpg","Nbl","@bangliban","·","https://x.com/bangliban/status/2050434604872733123","May 2","","sinyal","lu susah bgt nih, udh 5G tapi ga bisa browsing, cek kuota juga baru di isi","2","https://x.com/bangliban/status/2050434604872733123/analytics","115","@Telkomsel","https://x.com/Telkomsel","","","","","","","","",""
"https://x.com/Khentarooo","https://pbs.twimg.com/profile_images/1981963603096846336/zDSEUlOY_normal.jpg","yapster","@Khentarooo","·","https://x.com/Khentarooo/status/2052360721598738677","May 7","telkomsel","sinyal","ada","1","https://x.com/Khentarooo/status/2052360721598738677/analytics","99","","","anjir aneh jg","tp gabisa internet dan aplikasinya gabisa dibuka","","","","","","",""
"https://x.com/undercaleb","https://pbs.twimg.com/profile_images/2027087536733270016/sq5aI9sZ_normal.jpg","kaeris","@undercaleb","·","https://x.com/undercaleb/status/2052307884269326562","May 7","telkomsel","","gak indihome sinyalnya busuk bgt. ganti provider aja apa ya?","2","https://x.com/undercaleb/status/2052307884269326562/analytics","237","","","gila ya ga","","","higuruma","","","","",""
"https://x.com/ninaiedail","https://pbs.twimg.com/profile_images/2007006392230785025/MwmvQOU3_normal.jpg","ninami","@ninaiedail","·","https://x.com/ninaiedail/status/2044023417918369913","Apr 14","sinyal","","","2","https://x.com/ninaiedail/status/2044023417918369913/analytics","111","@Telkomsel","https://x.com/Telkomsel","Eh astaga","napa lagi elah","","","","","","",""
"https://x.com/malikswijaya","https://pbs.twimg.com/profile_images/1719574282886684672/1f1xbzVJ_normal.jpg","YaJ","@malikswijaya","·","https://x.com/malikswijaya/status/2051207542475497905","May 4","","Sinyal","tiba-tiba hilang kenapa ini min?","1","https://x.com/malikswijaya/status/2051207542475497905/analytics","97","@Telkomsel","https://x.com/Telkomsel","","","","","","","","",""
"https://x.com/SoyTaniBanani","https://pbs.twimg.com/profile_images/1129514308981927936/BBvNqAEw_normal.jpg","Tani","@SoyTaniBanani","·","https://x.com/SoyTaniBanani/status/2052825807500812780","18m","","","","1","https://x.com/SoyTaniBanani/status/2052825807500812780/analytics","13","","","Desde ayer no tengo Internet ya lo reporte y me llegan mensajes de que mi servicio ya opera con normalidad, pero no es verdad. Por que mandan mensajes desinformado, llamo para reportar y no atienden.","","","@TELMEXSoluciona","","","","",""
"https://x.com/frakturisasi","https://pbs.twimg.com/profile_images/2033177220865536000/VboSC1wa_normal.jpg","ai","@frakturisasi","·","https://x.com/frakturisasi/status/2051291243335004424","May 4","telkomsel","sinyal","tapi kalo ujan malem-malem sebatang pun gak sudi muncul dia cik","1","https://x.com/frakturisasi/status/2051291243335004424/analytics","332","","","gw di puncak tertinggi pun masih ada","","","","","","","",""
"https://x.com/fwirll","https://pbs.twimg.com/profile_images/2049860852698984448/TYhNDCgQ_normal.jpg","bil","@fwirll","·","https://x.com/fwirll/status/2050180609440653459","May 1","","sinyal","di timika SP2 dari semalem hilang tolong ditindaklanjuti segera, sampe sekarang masih ilang ilangan","3","https://x.com/fwirll/status/2050180609440653459/analytics","179","@Telkomsel","https://x.com/Telkomsel","kenapa","","","","","","","",""
"https://x.com/enkigayo","https://pbs.twimg.com/profile_images/2016336301985763328/vwGEsfMM_normal.jpg","","@enkigayo","·","https://x.com/enkigayo/status/2050086100769886302","May 1","","sinyal","susah bgt ya, 20 menitan lebih gaada","1","https://x.com/enkigayo/status/2050086100769886302/analytics","83","@Telkomsel","https://x.com/Telkomsel","ini kenapa",". padahal paket gw jg masih ada","","","","","","",""
"https://x.com/MINDMEISTERRR","https://pbs.twimg.com/profile_images/1935369054723710978/zJAJY7eG_normal.jpg","ÖGO | Talha","@MINDMEISTERRR","·","https://x.com/MINDMEISTERRR/status/2052826595035845107","15m","","","","","https://x.com/MINDMEISTERRR/status/2052826595035845107/analytics","14","","","Türk Telekom 300'lük paket kullanıyorum 845tl ve hiçbir sorun yok. Türknet altyapısı olan bir yerde Türk Telekom olmaması çok saçma. Öte yandan Türknet kullanan arkadaşlarım var hiçbir sorun çıkmıyor onlarda.","","","","Replying to","https://x.com/adawong_99","@adawong_99","",""
"https://x.com/axmannsyah_rudy","https://pbs.twimg.com/profile_images/1053637939534557184/ZrCipjFj_normal.jpg","R.axmannsyah","@axmannsyah_rudy","·","https://x.com/axmannsyah_rudy/status/2050325462908563753","May 2","sinyal","","lo cacattttt latency kaya tai","1","https://x.com/axmannsyah_rudy/status/2050325462908563753/analytics","60","","","Kemudahan tai","","","","Replying to","https://x.com/Telkomsel","@Telkomsel","",""
"https://x.com/Suhastoro5no","https://pbs.twimg.com/profile_images/1445035621307715589/7AlyZNhC_normal.jpg","suhastoro","@Suhastoro5no","·","https://x.com/Suhastoro5no/status/2050263645981131090","May 2","","sinyal","semakin jelek di daerah saya? Bisa diperbaiki tidak. Apa harga paket data masih kurang mahal biar internet bisa digunakan buat internetan","1","https://x.com/Suhastoro5no/status/2050263645981131090/analytics","117","@Telkomsel","https://x.com/Telkomsel","gimana min kok","","","","","","","https://abs.twimg.com/emoji/v2/svg/1f926-1f3fb-200d-2642-fe0f.svg",""
"https://x.com/mingyugoreng","https://pbs.twimg.com/profile_images/1895499590352424960/LV-jkclr_normal.jpg","mention setelah DM","@mingyugoreng","·","https://x.com/mingyugoreng/status/2052659715193417730","11h","sinyal","telkomsel","paling bagus itu kartu apa ya? 
Ak mau beli kartu","1","https://x.com/mingyugoreng/status/2052659715193417730/analytics","311","EP6 EXO EXHORIZON JAKARTA","","Wta guys di indonesia arena,","atau XL mending mana yg aman sinyalnya di IA","","","","","","",""
"https://x.com/mandikecil","https://pbs.twimg.com/profile_images/2029329395845087233/NTlS8NiS_normal.jpg","adnan","@mandikecil","·","https://x.com/mandikecil/status/2050200319334977731","May 1","sinyal","","lu jelek?","8","https://x.com/mandikecil/status/2050200319334977731/analytics","1.3K","@Telkomsel","https://x.com/Telkomsel","kok kuota lu mahal si? kan","","","","","","","",""
"https://x.com/kaisagiphile","https://pbs.twimg.com/profile_images/2017990230813618176/Y5VBvmY1_normal.png","Ciwa","@kaisagiphile","·","https://x.com/kaisagiphile/status/2052064257597112756","May 6","","sinyal","gua beli kuota mahal sm bayar indihom mahal tp knp","3","https://x.com/kaisagiphile/status/2052064257597112756/analytics","296","@Telkomsel","https://x.com/Telkomsel","eh goblok","lu bapuk bgt bangsat","","","","","","",""
