"css-175oi2r href","css-9pa8cd src","css-1jxf684","r-4qtqp9 src","css-1jxf684 2","css-1jxf684 3","css-146c3p1 href","css-146c3p1","css-1jxf684 4","css-1jxf684 5","css-1jxf684 6","css-1jxf684 7","css-175oi2r href 4","css-1jxf684 8","r-4qtqp9 src 2","css-1jxf684 9","css-1jxf684 10","r-4qtqp9 src 3","css-1jxf684 11","css-1jxf684 12","css-146c3p1 2","css-1jxf684 href 4","css-1jxf684 14","css-9pa8cd src 3","r-1p0dtai src"
"https://x.com/raumdeuter45","https://pbs.twimg.com/profile_images/1897285995915304969/JtdI2VxF_normal.jpg","punchsickle","","@raumdeuter45","·","https://x.com/raumdeuter45/status/2050630393188302975","May 3","cokkk.","Indosat","lemotnya kebangetan njirr","2","https://x.com/raumdeuter45/status/2050630393188302975/analytics","126","","1","@CareIM3","","","","","https://t.co/UC3R8hiT7G","","",""
"https://x.com/papanberjalan","https://pbs.twimg.com/profile_images/1999740695410847744/Ivs_vi7P_normal.jpg","Papan (Necromancer Bare Metal) Berjalan","https://abs.twimg.com/emoji/v2/svg/1f62d.svg","@papanberjalan","·","https://x.com/papanberjalan/status/2050337582928855150","May 2","issue: myrep dan","indosat","issue: indihome/astinet
btw pandeglang dan australia bisa akses tuh ip awok awok, seru kan","3","https://x.com/papanberjalan/status/2050337582928855150/analytics","1.5K","https://abs.twimg.com/emoji/v2/svg/1f923.svg","4","@papanberjalan","https://abs.twimg.com/emoji/v2/svg/1f90c.svg","Rayqusa D. Mafazi","","May 2","","Quote","https://pbs.twimg.com/profile_images/1908109631978958848/DpaouLZo_mini.jpg",""
"https://x.com/igotsan","https://pbs.twimg.com/profile_images/2052028234301403136/cvsnl4za_normal.jpg","pepi indosat","https://abs.twimg.com/emoji/v2/svg/1f345.svg","@igotsan","·","https://x.com/igotsan/status/2052744712986235325","5h","INI LUCU BANGET OMGSJSNMSKSBSHWKSJ","","Maff guys norak ini cb pertama aku as wandor","","https://x.com/igotsan/status/2052744712986235325/analytics","18","https://abs.twimg.com/emoji/v2/svg/1f62d.svg","#보이넥스트도어","","https://abs.twimg.com/emoji/v2/svg/1f62d.svg","#BOYNEXTDOOR","#BOYNEXTDOORHOME","","","","","blob:https://x.com/84162e64-794d-495e-b1d8-42c58baf0545"
"https://x.com/jumplang","https://pbs.twimg.com/profile_images/1945374848684855296/b6UypHDC_normal.png","ؘSonya.","","@jumplang","·","https://x.com/jumplang/status/2051442875385401738","May 5","need kuota","indosat","","5","https://x.com/jumplang/status/2051442875385401738/analytics","586","","2","","","#bealanja","#zonauang","","","","",""
"https://x.com/nrrnisa","https://pbs.twimg.com/profile_images/2052353754385805312/T2EpX53D_normal.jpg","Bambang Indosat","","@nrrnisa","·","https://x.com/nrrnisa/status/2052587285867360566","16h","One day hopefully","","","1","https://x.com/nrrnisa/status/2052587285867360566/analytics","93","https://abs.twimg.com/emoji/v2/svg/2728.svg","3","","https://abs.twimg.com/emoji/v2/svg/1f9ca.svg","bis!ayo","","19h","","Quote","https://pbs.twimg.com/profile_images/2048397165886832640/0rii60nY_mini.jpg",""
"https://x.com/keedehara","https://pbs.twimg.com/profile_images/2046560763763212288/F6x6RyhX_normal.jpg","Kirara Indosat","https://abs.twimg.com/emoji/v2/svg/1f408-200d-2b1b.svg","@keedehara","·","https://x.com/keedehara/status/2052291469583806622","May 7","slamat maaam ying!","","","1","https://x.com/keedehara/status/2052291469583806622/analytics","10","","","","","","","Replying to","https://x.com/apricotfizzzz","@apricotfizzzz","",""
"https://x.com/igotsan","https://pbs.twimg.com/profile_images/2052028234301403136/cvsnl4za_normal.jpg","pepi indosat","https://abs.twimg.com/emoji/v2/svg/1f345.svg","@igotsan","·","https://x.com/igotsan/status/2052744712986235325","5h","INI LUCU BANGET OMGSJSNMSKSBSHWKSJ","","Maff guys norak ini cb pertama aku as wandor","","https://x.com/igotsan/status/2052744712986235325/analytics","18","https://abs.twimg.com/emoji/v2/svg/1f62d.svg","#보이넥스트도어","","https://abs.twimg.com/emoji/v2/svg/1f62d.svg","#BOYNEXTDOOR","#BOYNEXTDOORHOME","","","","","blob:https://x.com/84162e64-794d-495e-b1d8-42c58baf0545"
"https://x.com/economiys","https://pbs.twimg.com/profile_images/2048138274091462656/DqDFlDeN_normal.jpg","mitha indosat","","@economiys","·","https://x.com/economiys/status/2052773864464363632","3h","25 UDH JD ASPRAK?????","","","1","https://x.com/economiys/status/2052773864464363632/analytics","6","","","","","","","Replying to","https://x.com/nepztunzorca","@nepztunzorca","",""
"https://x.com/keedehara","https://pbs.twimg.com/profile_images/2046560763763212288/F6x6RyhX_normal.jpg","Kirara Indosat","https://abs.twimg.com/emoji/v2/svg/1f408-200d-2b1b.svg","@keedehara","·","https://x.com/keedehara/status/2049497616011141356","Apr 29","duhai cintaku sayangku","","","7","https://x.com/keedehara/status/2049497616011141356/analytics","230","","10","","","","","","","","",""
"https://x.com/uekageyama","https://pbs.twimg.com/profile_images/1816381831727702019/cUobd6y3_normal.jpg","seya indosat","","@uekageyama","·","https://x.com/uekageyama/status/2052694414829703200","9h","DATA GUE GIMANAAA INI STRESSSS","","","","https://x.com/uekageyama/status/2052694414829703200/analytics","22","https://abs.twimg.com/emoji/v2/svg/1f62d.svg","","","","","","","","","",""
